district,location,season,planting_date,planting_month,field_size_ha,first_fert_date,second_fert_date,soil_type,soil_condition,soil_ph,soil_nitrogen_n,soil_phosphorus_p,soil_potassium_k,soil_fertility_index,n_status_class,p_status_class,k_status_class,seed_variety,irrigation_type,rainfall_condition,rainfall_30d_mm,seasonal_rainfall_mm,avg_temperature_c,max_temperature_c,avg_humidity_pct,sunshine_hours,yield_t_ha
Anuradhapura,Nochchiyagama,Yala,4/26/2021,4,2.53,5/24/2021,6/17/2021,RBE,Medium,6.611,87.275,26.093,91.206,0.639,Medium,High,Low,Commando,Irrigated,Normal,328.898,509.89,27.902,30.809,70.9,7.905,5.0731
Monaragala,Siyambalanduwa,Yala,4/27/2021,4,1.01,5/22/2021,6/24/2021,RBE,Good,6.401,79.302,12.905,86.248,0.559,Medium,Medium,Medium,GT 709,Irrigated,Low,197.366,567.796,28.602,33.698,69.397,6.903,3.5278
Monaragala,Buttala,Yala,4/27/2021,4,0.61,5/26/2021,6/11/2021,IBL,Poor,6.779,18.985,7.502,209.491,0.371,Low,Low,High,Local Variety,Rainfed,Normal,203.192,657.897,29.098,32.699,63.396,7.096,3.0952
Anuradhapura,Eppawala,Yala,4/27/2021,4,2.82,5/21/2021,6/15/2021,RBE,Good,6.279,124.504,12.404,101.709,0.702,High,Medium,Low,Pacific 808,Mixed,Normal,278.051,701.206,29.901,33.1,64.8,7.206,6.1706
Ampara,Padiyathalawa,Yala,4/28/2021,4,2.86,5/21/2021,6/20/2021,RBE,Medium,6.229,37.491,28.602,67.409,0.498,Low,High,Low,GT 200,Rainfed,High,516.29,712.633,24.201,27.601,80.5,6.653,4.7087
Anuradhapura,Horowpathana,Yala,4/28/2021,4,1.76,5/26/2021,7/3/2021,Immature Brown Loams,Good,6.52,65.404,16.961,251.503,0.611,Medium,Medium,High,GT 709,Rainfed,Normal,272.6,724.996,28.103,34.099,71.103,9.599,6.479
Monaragala,Siyambalanduwa,Yala,4/28/2021,4,2.21,5/25/2021,6/11/2021,RYP,Medium,6.132,26.193,11.594,171.708,0.491,Low,Medium,Medium,GT 200,Rainfed,Normal,237,603.696,27.297,30.999,60.403,9.101,3.7523
Anuradhapura,Kahatagasdigiliya,Yala,4/28/2021,4,1.373,5/25/2021,6/24/2021,RYP,Medium,6.232,65.781,29.014,151.709,0.67,Medium,High,Medium,GT 200,Mixed,Normal,284.461,712.029,27.345,33.314,75.862,8.076,4.6181
Monaragala,Wellawaya,Yala,5/1/2021,5,2.56,5/27/2021,7/1/2021,RBE,Good,6.39,119.892,4.505,260.996,0.711,High,Low,High,Jet 999,Mixed,High,176.699,673.407,26.3,30.468,63.506,5.606,6.4313
Badulla,Mahiyanganaya,Yala,5/1/2021,5,2.296,5/19/2021,6/9/2021,RBE,Medium,6.156,93.144,10.12,149.657,0.523,High,Medium,Medium,GT 709,Mixed,Normal,345.109,867.977,25.821,28.76,86.102,6.021,4.1031
Matale,Pelwehera,Yala,5/1/2021,5,2.65,5/26/2021,7/3/2021,RBE,Poor,5.962,46.304,16.705,206.276,0.479,Low,Medium,High,GT 709,Rainfed,Low,264.997,502.109,29.998,33.298,70.205,8.296,5.5892
Monaragala,Buttala,Yala,5/3/2021,5,2.54,5/22/2021,6/13/2021,RYP,Medium,6.57,77.8,22.505,186.593,0.69,Medium,High,Medium,GT 709,Mixed,Normal,331.406,729.828,25.696,29.898,74.36,8.601,6.5086
Matale,Pelwehera,Yala,5/4/2021,5,1.89,5/24/2021,6/17/2021,RBE,Poor,5.949,119.798,20.041,76.591,0.722,High,Medium,Low,Pacific 808,Irrigated,Normal,380.807,502.501,28.199,33.203,75.495,7.327,4.6166
Matale,Pelwehera,Yala,5/5/2021,5,1.9,6/1/2021,6/12/2021,RBE,Good,5.972,114.006,20.295,59.191,0.682,High,High,Low,Pacific 808,Irrigated,Normal,364.3,480.007,29.233,34.796,77.996,7.605,4.9296
Matale,Dambulla,Yala,5/5/2021,5,2.35,6/2/2021,6/24/2021,RBE,Good,6.451,115.003,12.999,284.183,0.78,High,Medium,High,GT 709,Rainfed,Normal,264.496,533.201,27.873,30.399,77.101,7.005,5.594
Badulla,Mahiyanganaya,Yala,5/5/2021,5,2.55,5/29/2021,7/2/2021,RYP,Good,5.558,115.292,13.979,149.197,0.671,High,Medium,Medium,Pacific 808,Rainfed,High,504.195,634.386,25.1,26.202,70.501,8.905,3.5429
Anuradhapura,Horowpathana,Yala,5/5/2021,5,1.36,6/1/2021,7/1/2021,RYP,Medium,6.823,60.809,6.706,117.483,0.409,Medium,Low,Medium,Local Variety,Rainfed,Normal,368.595,521.998,31.302,36.402,63.899,8.003,4.7038
Anuradhapura,Nochchiyagama,Yala,5/6/2021,5,0.72,5/23/2021,6/12/2021,RYP,Medium,5.841,110.394,23.805,144.392,0.89,High,High,High,Local Variety,Rainfed,Low,295.304,659.548,28.9,31.199,70.701,7.605,4.6518
Badulla,Rideemaliyadda,Yala,5/7/2021,5,1.868,5/26/2021,6/15/2021,RBE,Medium,6.594,52.823,16.679,82.192,0.504,Medium,Medium,Low,Local Variety,Mixed,Normal,366.604,1007.808,26.01,30.088,83.488,6.009,3.9761
Ampara,Dehiattakandiya,Yala,5/8/2021,5,2.07,5/27/2021,7/2/2021,LHG,Good,6.128,27.896,20.657,100.703,0.532,Low,High,Medium,Pacific 808,Rainfed,High,322.206,690.309,30.8,36.5,74.498,7.102,4.0995
Badulla,Mahiyanganaya,Yala,5/8/2021,5,2.43,6/1/2021,7/5/2021,RYP,Medium,5.541,103.198,13.556,147.509,0.601,High,Medium,Medium,Pacific 808,Rainfed,High,494.697,605.001,24.9,27.2,75.17,8.498,3.2656
Monaragala,Wellawaya,Yala,5/9/2021,5,1.5,5/23/2021,6/24/2021,RYP,Medium,6.338,50.793,19.632,161.104,0.6,Medium,High,Medium,Commando,Mixed,Normal,202.504,536.801,29.199,34.499,75.201,5.199,5.5711
Matale,Pelwehera,Yala,5/9/2021,5,1.97,6/6/2021,6/14/2021,RBE,Good,5.999,105.509,7.263,181.506,0.651,High,Low,Medium,Commando,Rainfed,Low,109.991,574.404,26.497,28.304,71.599,8.55,4.53
Badulla,Mahiyanganaya,Yala,5/9/2021,5,1.71,5/28/2021,6/24/2021,RBE,Medium,6.111,35.806,17.006,183.898,0.561,Low,Medium,Medium,Commando,Mixed,Normal,239.809,665.908,26.697,33.702,78.621,4.805,6.0428
Badulla,Mahiyanganaya,Yala,5/9/2021,5,1.6,6/5/2021,7/2/2021,RBE,Medium,6.14,73.352,15.795,128.809,0.671,Medium,Medium,High,Local Variety,Irrigated,Normal,367.099,774.707,30.101,35.299,69.5,7.567,5.1458
Badulla,Mahiyanganaya,Yala,5/10/2021,5,2.47,6/3/2021,6/28/2021,RYP,Medium,5.452,96.991,11.605,160.145,0.611,High,Medium,Medium,Pacific 808,Rainfed,High,517.093,732.604,25.898,28.301,78.301,8.154,3.3588
Monaragala,Wellawaya,Yala,5/10/2021,5,2.1,5/30/2021,6/28/2021,RYP,Good,6.259,33.407,3.496,260.502,0.452,Low,Low,High,GT 200,Mixed,Normal,173.991,696.064,27.396,32.698,76.597,7.201,5.4689
Anuradhapura,Tambuttegama,Yala,5/11/2021,5,2.3,5/25/2021,6/20/2021,RBE,Medium,6.091,59.296,16.391,96.51,0.548,Medium,Medium,Low,Jet 999,Rainfed,Low,149.693,712.904,25.903,30.597,81.301,8.189,3.9291
Anuradhapura,Horowpathana,Yala,5/11/2021,5,1.47,6/6/2021,6/24/2021,RYP,Medium,5.851,31.202,18.395,127.296,0.511,Low,Medium,Medium,Local Variety,Rainfed,High,397.299,721.205,28.796,32.604,73.098,7,3.7823
Monaragala,Wellawaya,Yala,5/11/2021,5,1.91,6/10/2021,7/6/2021,RYP,Medium,6.272,16.71,2.002,240.706,0.461,Low,Low,High,GT 200,Mixed,Low,153.49,603.358,26.746,33.202,78.702,6.801,5.8906
Anuradhapura,Eppawala,Yala,5/11/2021,5,1.97,6/10/2021,7/7/2021,RBE,Medium,6.118,68.794,5.805,284.498,0.638,Medium,Low,High,Jet 999,Rainfed,High,414.694,629.913,28.799,34.255,63.496,9.199,5.9592
Matale,Dambulla,Yala,5/11/2021,5,2.18,6/8/2021,6/26/2021,RBE,Poor,6.38,112.797,16.002,62.173,0.559,High,Medium,Low,GT 709,Rainfed,Low,201.691,530.902,24.201,27.451,74.206,6.102,4.032
Ampara,Maha Oya,Yala,5/11/2021,5,2.89,6/9/2021,6/25/2021,RBE,Good,6.591,93.049,27.3,168.905,0.749,High,High,Medium,Jet 999,Rainfed,Normal,239.992,786.19,25.298,27.296,65.803,8.011,4.8665
Matale,Pelwehera,Yala,5/12/2021,5,1.89,6/1/2021,6/27/2021,RBE,Medium,5.98,99.009,10.591,189.113,0.601,High,Medium,Medium,Commando,Rainfed,Low,122.795,512.902,25.5,28.103,72.846,8.202,4.4142
Badulla,Mahiyanganaya,Yala,5/12/2021,5,1.69,6/5/2021,7/14/2021,RBE,Medium,6.138,38.415,18.305,195.902,0.499,Low,Medium,Medium,Commando,Mixed,Low,258.002,558.207,27.597,33.099,75.499,5.495,6.0493
Anuradhapura,Horowpathana,Yala,5/12/2021,5,2.65,5/27/2021,6/22/2021,RYP,Medium,5.85,78.903,9.196,230.408,0.512,Medium,Low,High,Local Variety,Rainfed,High,307.701,748.646,29.702,33.097,73.699,5.7,6.0111
Ampara,Padiyathalawa,Yala,5/12/2021,5,0.87,6/11/2021,6/28/2021,RBE,Medium,5.87,88.496,22.303,191.005,0.711,Medium,High,Medium,GT 200,Rainfed,Normal,157.302,662.961,29.298,33.048,80.103,7.299,4.151
Ampara,Maha Oya,Yala,5/12/2021,5,2.1,6/9/2021,6/25/2021,RBE,Good,6.301,42.906,28.509,291.201,0.76,Low,High,High,Jet 999,Rainfed,Normal,159.609,552.404,26.305,28.597,66.602,7.498,4.9118
Ampara,Padiyathalawa,Yala,5/12/2021,5,0.8,6/9/2021,7/1/2021,RYP,Medium,5.703,73.105,26.198,247.309,0.772,Medium,High,High,Jet 999,Rainfed,Normal,285.321,783.605,29.4,33.102,78.402,7.895,4.825
Anuradhapura,Horowpathana,Yala,5/12/2021,5,1.04,6/2/2021,7/10/2021,RYP,Poor,5.971,76.309,21.61,263.394,0.741,Medium,High,High,GT 709,Irrigated,Normal,279.407,692.398,24.881,28.095,78.505,8.702,4.6993
Anuradhapura,Nochchiyagama,Yala,5/12/2021,5,1.36,6/2/2021,7/2/2021,RBE,Medium,6.819,21.168,24.105,187.292,0.546,Low,High,Medium,Commando,Rainfed,Low,204.302,768.207,24.901,28.902,69.199,6.799,2.83
Anuradhapura,Eppawala,Yala,5/13/2021,5,1.755,6/10/2021,7/7/2021,RBE,Medium,6.002,72.802,6.002,283.406,0.549,Medium,Low,High,Jet 999,Rainfed,Low,375.695,537.549,29.8,34.297,63.6,8.797,5.6663
Anuradhapura,Tambuttegama,Yala,5/13/2021,5,1.11,6/8/2021,7/9/2021,RBE,Good,5.959,117.101,2.699,131.606,0.561,High,Low,Medium,Commando,Rainfed,Normal,299.999,556.182,27.1,31.572,63.494,7.896,4.5208
Monaragala,Wellawaya,Yala,5/13/2021,5,1.93,6/7/2021,7/8/2021,RBE,Medium,6.601,83.01,18.291,253.891,0.72,Medium,Medium,High,GT 200,Mixed,Low,212.908,624.804,27.794,31.498,64.203,8.05,4.479
Anuradhapura,Horowpathana,Yala,5/13/2021,5,1.56,6/5/2021,7/7/2021,RYP,Poor,6.038,32.695,17.993,118.404,0.409,Low,Medium,Medium,Local Variety,Rainfed,High,425.907,772.725,29.997,32.8,76.502,7.303,3.8913
Monaragala,Wellawaya,Yala,5/13/2021,5,2.35,6/10/2021,6/27/2021,Alluvial,Medium,6.189,26.3,22.211,195.999,0.58,Low,High,Medium,Pacific 808,Mixed,Normal,233.693,625.398,27.997,30.496,74.702,8.399,4.4316
Anuradhapura,Eppawala,Yala,5/13/2021,5,1.76,6/1/2021,7/11/2021,RBE,Medium,6.04,69.396,6.199,262.622,0.61,Medium,Low,High,Jet 999,Rainfed,High,395.105,480.001,29.1,34.302,66.499,9.205,5.7554
Monaragala,Siyambalanduwa,Yala,5/14/2021,5,2.72,6/12/2021,7/3/2021,RBE,Medium,6.039,52.104,22.893,78.2,0.558,Low,High,Low,Pacific 808,Mixed,Normal,228.306,520.004,31.299,35.901,78.613,8.285,4.6508
Matale,Dambulla,Yala,5/14/2021,5,2.77,6/13/2021,7/3/2021,RYP,Medium,6.212,105.13,21.798,195.505,0.743,High,High,Medium,GT 200,Rainfed,Normal,246.896,746.509,25.798,28.301,79.698,8.505,4.6942
Anuradhapura,Eppawala,Yala,5/14/2021,5,2,6/3/2021,6/20/2021,RYP,Good,6.41,37.107,17.806,222.591,0.551,Low,Medium,High,GT 709,Rainfed,Normal,158.794,695.109,28.261,30.901,65.309,7.705,4.7024
Matale,Pelwehera,Yala,5/14/2021,5,1.79,6/6/2021,6/19/2021,RBE,Good,5.919,97.803,15,188.402,0.69,High,Medium,Medium,Commando,Rainfed,Low,127.706,479.996,25.55,27.888,72.4,8.397,4.4415
Anuradhapura,Horowpathana,Yala,5/14/2021,5,1.97,6/12/2021,7/11/2021,RBE,Good,6.061,49.503,6.697,139.093,0.291,Low,Low,Medium,Local Variety,Rainfed,Normal,190.602,562.71,31.728,35.324,65.699,7.405,4.8434
Monaragala,Buttala,Yala,5/14/2021,5,1.87,6/3/2021,7/3/2021,RBE,Medium,6.09,75.401,28.309,189.709,0.727,Medium,High,Medium,GT 709,Rainfed,Normal,154.81,504.406,27.603,30.504,72.098,8.703,4.659
Anuradhapura,Tambuttegama,Yala,5/14/2021,5,2.29,6/13/2021,7/4/2021,RBE,Good,6.139,67.709,18.495,98.202,0.499,Medium,Medium,Low,Jet 999,Rainfed,Low,138.061,713.8,25.999,29.835,83.197,7.596,3.6438
Anuradhapura,Kahatagasdigiliya,Yala,5/14/2021,5,2.295,6/7/2021,6/22/2021,RYP,Medium,6.217,74.885,16.289,85.835,0.586,Medium,Medium,Low,GT 709,Mixed,Normal,269.7,869.787,25.925,30.671,69.262,7.36,4.5934
Badulla,Rideemaliyadda,Yala,5/14/2021,5,1.75,6/5/2021,7/6/2021,RBE,Medium,6.362,50.207,22.154,116.297,0.511,Medium,High,Medium,GT 200,Rainfed,Normal,263.397,565.704,24.728,26.5,68.605,8.696,3.3761
Monaragala,Wellawaya,Yala,5/15/2021,5,2.33,6/6/2021,7/6/2021,Alluvial,Good,6.091,21.497,23.209,175.705,0.52,Low,High,Medium,Pacific 808,Mixed,Normal,269.005,654.511,28.497,32.499,70.596,8.603,3.9924
Anuradhapura,Nochchiyagama,Yala,5/15/2021,5,1.61,6/11/2021,7/13/2021,RYP,Medium,5.562,81.408,20.507,251.093,0.728,Medium,High,High,GT 200,Mixed,Low,144.493,667.748,26.602,30.4,71.602,8.125,5.4595
Monaragala,Siyambalanduwa,Yala,5/15/2021,5,2.77,6/13/2021,6/20/2021,RBE,Medium,6.092,39.894,22.89,88.448,0.509,Low,High,Low,Pacific 808,Mixed,Low,269.591,548.993,31.801,36.4,73.797,8.902,4.3904
Badulla,Mahiyanganaya,Yala,5/15/2021,5,1.98,6/12/2021,7/4/2021,RBE,Poor,5.989,50.305,14.119,259.794,0.58,Medium,Medium,High,Pacific 808,Rainfed,High,217.79,763.905,29.296,31.797,72.601,6.994,3.8594
Anuradhapura,Kahatagasdigiliya,Yala,5/15/2021,5,2.04,6/6/2021,7/4/2021,RYP,Medium,5.828,73.804,28.114,57.704,0.591,Medium,High,Low,Local Variety,Mixed,High,468.497,644.701,27.912,31.299,77.697,6.498,3.9398
Monaragala,Siyambalanduwa,Yala,5/15/2021,5,2.66,6/14/2021,7/2/2021,RBE,Good,6.208,23.298,26.802,63.992,0.43,Low,High,Low,Commando,Irrigated,High,305.398,636.608,27.701,30.234,74.606,7.498,3.478
Anuradhapura,Horowpathana,Yala,5/15/2021,5,2.32,6/14/2021,6/29/2021,RYP,Good,5.602,116.107,9.399,108.569,0.548,High,Low,Medium,GT 709,Mixed,High,361.196,718.705,29.803,32.999,69.661,7.602,5.4368
Anuradhapura,Nochchiyagama,Yala,5/15/2021,5,1.33,6/9/2021,7/8/2021,RYP,Poor,6.279,28.194,17.106,65.203,0.339,Low,Medium,Low,Jet 999,Rainfed,Normal,386.592,661.866,27.801,29.902,65.637,8.099,4.1921
Monaragala,Wellawaya,Yala,5/16/2021,5,2.52,6/13/2021,7/4/2021,RYP,Good,6.31,75.321,6.99,247.804,0.56,Medium,Low,High,GT 709,Rainfed,Low,274.505,712.098,28.527,33.2,69.396,8.801,6.5575
Badulla,Mahiyanganaya,Yala,5/16/2021,5,2.76,6/9/2021,7/13/2021,RBE,Good,6.199,61.891,2.306,145.673,0.411,Medium,Low,Medium,Commando,Mixed,Normal,292.405,533.992,29.697,34.003,61.103,9.895,5.1903
Badulla,Mahiyanganaya,Yala,5/16/2021,5,2.63,6/2/2021,7/3/2021,RBE,Medium,6.359,65.408,1.001,157.405,0.519,Medium,Low,Medium,Commando,Mixed,Normal,284.908,552.9,30.204,33.603,64.471,9.904,5.6972
Anuradhapura,Kahatagasdigiliya,Yala,5/16/2021,5,1.773,5/31/2021,6/15/2021,RBE,Medium,6.464,96.331,2.882,152.641,0.48,High,Low,Medium,Local Variety,Mixed,Normal,318.705,862.225,26.619,30.607,71.602,7.385,4.282
Anuradhapura,Eppawala,Yala,5/17/2021,5,1.71,6/7/2021,7/14/2021,RYP,Good,6.841,110.809,3.407,163.709,0.67,High,Low,Medium,Pacific 808,Mixed,High,289.408,777.446,29.301,34.799,77.398,7.06,5.0065
Monaragala,Buttala,Yala,5/17/2021,5,1.97,6/1/2021,7/18/2021,RBE,Good,6.063,69.307,28.101,198.982,0.722,Medium,High,High,GT 709,Rainfed,Low,181.302,479.992,27.399,30.903,72.604,8.799,4.7311
Anuradhapura,Nochchiyagama,Yala,5/18/2021,5,1.4,6/13/2021,7/6/2021,RYP,Medium,6.36,26.8,16.597,50.903,0.447,Low,Medium,Low,Jet 999,Rainfed,Normal,350.393,519.593,27.803,28.496,64.903,8.307,4.0959
Badulla,Mahiyanganaya,Yala,5/19/2021,5,2.81,6/11/2021,7/13/2021,RBE,Medium,6.218,51.253,1.263,145.996,0.479,Low,Low,Medium,Commando,Mixed,Normal,265.593,518.707,28.598,35.198,62.4,10.205,5.3558
Ampara,Padiyathalawa,Yala,5/19/2021,5,0.76,6/16/2021,7/1/2021,RBE,Poor,6.201,119.394,24.392,128.59,0.751,High,High,Medium,Pacific 808,Rainfed,Low,256.304,575.2,24.799,28.386,60.304,7.701,3.9072
Ampara,Padiyathalawa,Yala,5/21/2021,5,2.61,6/14/2021,7/16/2021,RBE,Medium,6.332,85.408,10.8,293.812,0.679,Medium,Medium,High,Commando,Rainfed,Normal,344.573,774.691,27.099,29.396,82.504,6.599,4.5184
Ampara,Maha Oya,Yala,5/22/2021,5,1.3,6/17/2021,7/7/2021,LHG,Medium,5.821,43.001,13.291,68.358,0.422,Medium,Medium,Low,GT 709,Irrigated,Normal,175.3,699.521,29.803,34.003,62.999,7.905,3.701
Monaragala,Siyambalanduwa,Yala,5/24/2021,5,0.99,6/20/2021,7/9/2021,RYP,Good,6.339,83.098,16.803,87.693,0.527,Medium,Medium,Low,Local Variety,Rainfed,Normal,383.21,746.899,27.686,31.202,68.203,6.997,4.6595
Monaragala,Buttala,Yala,5/24/2021,5,0.89,6/20/2021,7/9/2021,RYP,Medium,6.753,102.102,29.398,88.907,0.709,High,High,Low,Jet 999,Irrigated,Low,160.29,616.593,26.901,30.401,64.496,7.299,5.9946
Ampara,Maha Oya,Yala,5/24/2021,5,1.22,6/13/2021,7/17/2021,LHG,Medium,5.688,44.606,14.094,69.709,0.461,Low,Medium,Low,GT 709,Irrigated,Low,150.59,687.146,27.197,34.003,61.3,7.695,3.8575
Monaragala,Buttala,Yala,5/25/2021,5,0.85,6/20/2021,7/13/2021,RYP,Good,6.725,109.395,26.69,78.491,0.711,High,High,Low,Jet 999,Irrigated,Low,156.11,681.564,27.8,31.501,62.795,6.995,6.5721
Anuradhapura,Tambuttegama,Yala,5/25/2021,5,1.96,6/11/2021,7/17/2021,RBE,Medium,6.298,68.392,10.708,107.706,0.568,Medium,Low,Low,Jet 999,Mixed,Normal,383.902,748.195,30.398,33.301,60.899,7.303,4.5696
Anuradhapura,Tambuttegama,Yala,5/27/2021,5,0.65,6/15/2021,7/22/2021,RBE,Poor,6.161,54.005,20.701,148.408,0.709,Medium,High,High,GT 709,Rainfed,Normal,348.393,727.902,30.304,32.88,65.7,7.502,4.0065
Matale,Dambulla,Yala,5/28/2021,5,0.85,6/22/2021,7/23/2021,RYP,Poor,6.049,82.509,12.303,94.004,0.471,Medium,Medium,Low,Commando,Irrigated,Normal,241.308,660.793,28.644,30.951,76.695,6.698,4.1582
Anuradhapura,Tambuttegama,Yala,5/28/2021,5,2.17,6/20/2021,7/11/2021,RBE,Medium,6.322,75.603,11.806,115.191,0.602,Medium,Medium,Medium,Jet 999,Mixed,Low,387.074,735.066,30.496,33.202,65.1,6.902,4.4503
Anuradhapura,Eppawala,Yala,5/28/2021,5,0.98,6/21/2021,7/26/2021,RBE,Medium,5.96,89.593,15.003,73.807,0.575,High,Medium,Low,Pacific 808,Rainfed,Low,325.701,508.708,25.302,29.223,76.902,9.404,5.2282
Anuradhapura,Tambuttegama,Yala,5/29/2021,5,2.12,6/21/2021,7/18/2021,RBE,Medium,6.21,62.257,15.098,112.503,0.57,Medium,Medium,Low,Jet 999,Mixed,High,454.802,767.101,31.1,33.804,65.401,7.105,4.3538
Anuradhapura,Tambuttegama,Yala,5/29/2021,5,2.43,6/15/2021,7/18/2021,RBE,Medium,6.342,78.401,9.103,113.996,0.572,Medium,Low,Low,Jet 999,Mixed,Normal,369.795,798.808,30.503,34.196,65.395,7.025,4.7137
Anuradhapura,Nochchiyagama,Yala,8/2/2021,8,2.527,8/16/2021,9/6/2021,RBE,Medium,6.561,72.701,19.231,80.477,0.606,Medium,Medium,Low,Local Variety,Irrigated,Low,216.009,616.359,27.768,31.464,74.233,8.051,4.4911
Badulla,Rideemaliyadda,Yala,8/21/2021,8,1.791,9/13/2021,9/28/2021,RYP,Medium,5.815,46.364,23.092,259.019,0.628,Low,High,High,Commando,Mixed,Normal,319.696,877.557,25.957,28.096,79.279,7.506,4.6628
Ampara,Dehiattakandiya,Yala,8/23/2021,8,2.027,9/11/2021,9/29/2021,RBE,Poor,6.157,36.723,10.538,101.406,0.438,Low,Medium,Low,Jet 999,Irrigated,Low,238.435,649.755,29.071,32.856,71.171,8.802,4.1159
Anuradhapura,Kahatagasdigiliya,Yala,8/26/2021,8,2.187,9/16/2021,10/13/2021,RYP,Good,6.108,95.751,25.419,301.796,0.811,High,High,High,GT 709,Mixed,Normal,301.436,718.953,29.165,33.396,70.988,6.863,5.766
Anuradhapura,Tambuttegama,Maha,9/1/2021,9,0.72,9/30/2021,10/27/2021,RBE,Medium,7.039,95.596,29.395,63.603,0.66,High,High,Low,Commando,Irrigated,Normal,408.391,757.195,27.497,29.965,77.295,9.003,5.7446
Anuradhapura,Horowpathana,Maha,9/2/2021,9,2.8,9/30/2021,10/25/2021,RBE,Poor,6.16,94.004,6.801,72.793,0.418,High,Low,Low,GT 200,Mixed,Normal,330.602,1097.097,25.816,29.803,71.798,7.096,2.8824
Monaragala,Buttala,Maha,9/3/2021,9,2.36,9/24/2021,10/26/2021,RBE,Poor,5.921,54.096,21.308,98.508,0.611,Medium,High,Medium,GT 709,Irrigated,High,284.281,1042.6,27.996,32.477,70.304,7.798,3.9558
Monaragala,Thanamalwila,Maha,9/3/2021,9,0.55,9/20/2021,10/10/2021,RBE,Medium,6.64,59.692,16.4,187.8,0.599,Medium,Medium,Medium,Jet 999,Rainfed,Normal,499.607,1095.51,27,34.699,81.898,7.93,5.2702
Anuradhapura,Kahatagasdigiliya,Maha,9/3/2021,9,1.06,9/24/2021,10/28/2021,RBE,Medium,6.671,25.2,13.894,82.804,0.318,Low,Medium,Low,Commando,Rainfed,Normal,284.764,1068.999,25.831,29.297,75.504,6.402,2.9946
Monaragala,Wellawaya,Maha,9/4/2021,9,3.13,10/1/2021,10/22/2021,RYP,Medium,6.492,39.596,23.095,110.309,0.558,Low,High,Low,Commando,Rainfed,Normal,229.69,771.892,23.098,26.699,75.403,9.188,3.619
Monaragala,Thanamalwila,Maha,9/4/2021,9,2.59,10/4/2021,10/31/2021,RBE,Poor,6.451,77.803,24.203,56.615,0.609,Medium,High,Low,GT 200,Rainfed,Low,256.902,1039.707,29.001,31.803,85.801,7.167,4.1269
Anuradhapura,Kahatagasdigiliya,Maha,9/5/2021,9,0.74,9/29/2021,11/3/2021,RBE,Poor,6.301,89.096,22.592,51.707,0.56,Medium,High,Low,Pacific 808,Rainfed,High,266.295,792.007,30.94,34.203,72.815,8.796,4.1327
Monaragala,Thanamalwila,Maha,9/6/2021,9,2.78,9/23/2021,10/16/2021,IBL,Good,6.658,107.293,19.499,93.151,0.721,High,Medium,Medium,Jet 999,Irrigated,Normal,304.644,889.601,25.996,31.5,78.095,6.796,6.4907
Anuradhapura,Kahatagasdigiliya,Maha,9/6/2021,9,0.95,9/28/2021,10/23/2021,RBE,Poor,6.689,27.101,13.097,81.092,0.426,Low,Medium,Low,Commando,Rainfed,Normal,238.795,1102.397,26.002,30.604,72.801,6.301,3.1919
Anuradhapura,Kahatagasdigiliya,Maha,9/6/2021,9,1.18,10/2/2021,10/13/2021,RBE,Medium,6.631,29.005,17.005,86.664,0.47,Low,Medium,Low,Commando,Rainfed,Normal,283.502,1049.9,25.198,28.901,79.188,7.098,3.2086
Monaragala,Thanamalwila,Maha,9/7/2021,9,1.36,9/23/2021,11/1/2021,Alluvial,Medium,5.748,69.007,8.232,65.408,0.4,Medium,Low,Low,Commando,Rainfed,Normal,386.901,1139.496,25.601,31.803,73.498,6.002,4.5672
Anuradhapura,Eppawala,Maha,9/7/2021,9,3.49,9/24/2021,10/19/2021,RYP,Medium,6.384,19.999,17.099,88.797,0.438,Low,Medium,Medium,GT 709,Irrigated,Normal,332.698,835.006,28.102,30.198,76.58,7.202,3.6143
Monaragala,Siyambalanduwa,Maha,9/7/2021,9,1.811,9/30/2021,10/25/2021,RYP,Good,5.651,24.704,12.099,241.106,0.469,Low,Medium,High,GT 200,Mixed,High,491.06,1055.8,26.496,29,70.095,7.357,4.0598
Monaragala,Wellawaya,Maha,9/7/2021,9,3.11,9/28/2021,10/18/2021,RYP,Good,6.579,43.507,20.59,101.094,0.572,Medium,High,Medium,Commando,Rainfed,High,226.205,829.709,24.944,27.669,75.399,8.903,3.249
Ampara,Dehiattakandiya,Maha,9/7/2021,9,2.27,10/1/2021,11/3/2021,RBE,Good,6.569,77.903,8.802,52.791,0.372,Medium,Low,Low,GT 709,Rainfed,Normal,335.801,874.102,30.798,34.696,83.338,7.148,4.53
Ampara,Dehiattakandiya,Maha,9/8/2021,9,2.31,9/29/2021,11/3/2021,RBE,Medium,6.609,79.691,6.69,67.8,0.511,Medium,Low,Low,GT 709,Rainfed,Normal,339.439,921.104,30.697,34.497,79.496,7.164,4.7642
Monaragala,Wellawaya,Maha,9/8/2021,9,0.5,10/6/2021,11/5/2021,RBE,Medium,6.388,102.274,12.595,99.026,0.609,High,Medium,Low,Pacific 808,Mixed,Normal,281.125,771.7,26.982,32.187,70.504,9.898,4.9093
Monaragala,Thanamalwila,Maha,9/8/2021,9,2.94,10/5/2021,10/26/2021,RBE,Good,5.789,88.601,3.993,60.994,0.349,High,Low,Low,GT 200,Mixed,Normal,270.061,835.9,24.399,29.502,67.602,8.005,5.313
